video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"bDIQQRjQFE0","Lesti - Kulepas Dengan Ikhlas | Official Music Video","2020-08-05T16:30:10Z","UCE0laCY30f_ky80J0BxD3dA","3D Entertainment","10","20.08.08","lesti|lesty kejora|lesti da|lesti dangdut academy|kitty|lesti rizky billar|rizky billar|lesti rizki|rizki nikah|sepertiga malam|lesti mantan rizki|baper lesti rizky|rizky billar ngapel lesti|cinta lesti rizky billar|video dangdut|lagu dangdut|music video|video klip|video klip dangdut|viral|video viral|sinetron|video baper|video bikin mewek|video bikin sedih|video bikin baper|lagu dangdut terbaru|leslar|power of leslar","10824591","742744","17740","160968","https://i.ytimg.com/vi/bDIQQRjQFE0/default.jpg","False","False","Lesti - Kulepas Dengan Ikhlas | Official Music Video#Lesti #LestiBillar #MusicVideo #Lagubarulesti #laguadibal #videodangdutterbaruSelepas merilis lagu bertemakan patah hati yang mendalam beberapa bulan lalu, kini Lesti kembali melahirkan sebuah karya baru dengan tema ‘Keikhlasan’.  Dibawah naungan label rekaman 3D Entertainment dan manajemen artis STREAM Entertainment, single berjudul ‘Kulepas Dengan Ikhlas’ dirilis tepat dihari ulang tahun Lesti, 5 Agustus 2020, melalui music video di channel youtube 3D Entertainment.Setelah sebelumnya kisah Lesti dikait-kaitkan dengan aktor Rizky Billar, yang memiliki background kisah cinta yang sama, dalam music video Lesti terbaru pun, keduanya dipertemukan. Adegan dalam music video tersebut sangat berkaitan dengan lirik yang diciptakan Adibal, penuh keikhlasan. Berangkat dari rasa simpati yang mendalam dan kedekatan secara pribadi, secara khusus Adibal Sahrul menciptakan lagu untuk Lesti.  “Lagu ini saya tulis tepat tanggal 17 Juli saat melihat postingan Lesti menghadiri pernikahan Rizky DA, cukup cepat bikinnya 1 jam aja... mungkin karena saya cukup dekat dengan mereka berdua, jadi saya dapat meraba apa yang mungkin mereka rasakan, khususnya Lesti, Kesan saya , lesti itu punya hati yg kuat ,apapun alasannya , gak mudah pastinya berada dalam situasi itu,” tutur Adibal.Lagu ini terasa paket lengkap dari sisi lirik, balutan musik yang menyentuh hati dan diperankan langsung oleh sosok yang mengalami kisahnya dan sebuah music video.  Semoga pesan besar dalam lagu ini dapat tersampaikan yaitu kita boleh merencanakan apa saja, pada akhirnya Tuhan yang menentukan.Composed by ADIBAL SHARULPublished by MAHAR PUSTAKA NUSANTARAProduced by ADIBALMUSIC PRODUCTIONArranged by YUSUP TOJIRIKeys performed by YUSUP TOJIRIGuitars performed by VITOGendang performed by DODIBass performed by ACHOSuling 1 performed by TIKNOSuling 2 & Flute performed by ANSULVocal Produced by UAK ASEP & ADIBAL Song Recorded @ADIBALMUSICSTUDIOMixed & Mastered by TIRTA©TRINITY OPTIMA PRODUCTION 2020====================================Music VideoDirector: Alif Patterson Assistant Director: Finny VSLZMProducer: Anthony VSLZMAssistant Producer: Michael VSLZMDoP: Ralf Morscheck1st Assistant Camera: Anjar Prabowo2nd Assistant Camera: Alvin LeeGaffer: Ryan Sandi GunawanLighting: Syto Bagas Pangestu & Nur Diansyah KloworArt: Finny VSLZM, Anthony VSLZM, & Maximillian VSLZMLocation Manager: Anthony VSLZMOffline Editor: Maximillian VSLZM & Finny VSLZMOnline Editor: Sweetpud & Michael VSLZMMake Up Artist : Rizky Make UpHair Do Rizky Billar : BudiStylist : Elco Febrian & Andra Astari====================================Lagu Kulepas Dengan Ikhlas akan segera dirilis di aplikasi musik streaming favoritmu, simpan dulu lagunya klik https://lnk.to/kulepasdenganikhlas -----------------------------------------------Yuk Follow!Instagram : https://instagram.com/3dent_idTwitter : https://twitter.com/3dent_idFacebook : https://www.facebook.com/3dentertainm...Beauty Line Lesti : https://instagram.com/purnamabeautyofficial3D Entertainment adalah sub-label dari PT. Trinity Optima Production (TOP) yang menaungi artis-artis dengan segmen musik Dangdut."
"3Exwdn9ltGI","YouTube's Got Talent (Part 2)","2020-08-05T10:15:12Z","UCUTc6457VhzHj-Bt2ejm2BA","skinnyindonesian24","29","20.08.08","skinnyindonesian24|youtube got talent|got talent|ajang bakat|pencarian bakat|da lopez|andovi da lopez|jovial da lopez|kajo|si24|ygt|ygt 2020|skinny|tahun terakhir|youtubers|got|talent|part 2|satir|sarkas|lucu|david beatt|cretivox|gritte agatha|buka praktek|minyo|step by step|step by step id|jwest bros|anderu bionty|uus|bayu skak|chandra liow|nessie judge|juri|lomba|kompetisi|audisi|acara|bakat|skinnyindonesia24|da lopez bersaudara|cianicolay|youtube","5017596","405562","9466","39322","https://i.ytimg.com/vi/3Exwdn9ltGI/default.jpg","False","False","Part 1: https://www.youtube.com/watch?v=6tGQlddMof8&t=201sPart 3: https://www.youtube.com/watch?v=ptDkYJyQUaISkinnyIndonesian24 (Andovi da Lopez & Jovial da Lopez) membuat ajang pencarian bakat YouTube pertama di Indonesia dengan juri Nessie Judge, Bayu Skak, Chandra Liow, dan Cia.Disclaimer: YouTube's Got Talent is not in any way affiliated with YouTube nor an accurate representation of YouTube.Peringatan: Program YouTube's Got Talent ini sama sekali tidak ter-afiliasi dengan YouTube dan bukan representasi akurat dari YouTube.Para kontestan: Anji, Denny Sumargo, Dyland Pros, May I See, Majelis Lucu Indonesia, UUS, Fathia Izzati, Gritte Agatha, Inayma, Cretivox, Last Day Production, Step By Step ID, Aulion, Minyo, Vega Delaga, Cameo Project, Jwest Bros, Kyra Nayda, XD Entertainment, Anderu Bionty, David Beatt, Tommy Limmm, Kezia Aletheia, Rayi Putra, Axel Jonathan. Time Stamp00:00:36 : David Beatt00:05:23 : Cretivox00:07:43 : Gritte Agatha00:10:43 : Minyo00:13:16 : Step by Step ID00:15:47 : JWest Bros00:18:39 : Anderu Bionty00:20:14 : Uus#SkinnyIndonesian24 #DaLopezEntertainment #YouTubesGotTalent #YGT #YGT2020Email: dalopezbros@gmail.com Instagram & Twitter: @andovidalopez @jovialdalopez This is a da Lopez Entertainment Productions.Love you all."
"ptDkYJyQUaI","YouTube's Got Talent (Part 3)","2020-08-07T13:00:11Z","UCUTc6457VhzHj-Bt2ejm2BA","skinnyindonesian24","24","20.08.08","skinnyindonesian24|youtube|got|talent|youtube got talent|part 3|skinny24|skinnyindonesia|skinnyindonesia24|indonesia|ajang|cari|bakat|talent show|got talent|mli|majelis lucu indonesia|coki|muslim|da lopez|bersaudara|andovi|jovial|dovi|jovi|fathia izzati|kitten dust|cameo project|ldp|last day production|aulion|tommy limmm|bayu skak|chandra liow|rayi putra|idol|indonesian idol|satir|sarkas|lucu|kocak|tahun|terakhir|ran|roasting|nyinyir|nyindir|cia|talenta|iri bilang","3796509","365205","5301","50703","https://i.ytimg.com/vi/ptDkYJyQUaI/default.jpg","False","False","Part 1: https://www.youtube.com/watch?v=6tGQlddMof8Part 2: https://www.youtube.com/watch?v=3Exwdn9ltGISkinnyIndonesian24 (Andovi da Lopez & Jovial da Lopez) membuat ajang pencarian bakat YouTube pertama di Indonesia dengan juri Nessie Judge, Bayu Skak, Chandra Liow, dan Cia.Disclaimer: YouTube's Got Talent is not in any way affiliated with YouTube nor an accurate representation of YouTube.Peringatan: Program YouTube's Got Talent ini sama sekali tidak ter-afiliasi dengan YouTube dan bukan representasi akurat dari YouTube.Para kontestan: Anji, Denny Sumargo, Dyland Pros, May I See, Majelis Lucu Indonesia, UUS, Fathia Izzati, Gritte Agatha, Inayma, Cretivox, Last Day Production, Step By Step ID, Aulion, Minyo, Vega Delaga, Cameo Project, Jwest Bros, Kyra Nayda, XD Entertainment, Anderu Bionty, David Beatt, Tommy Limmm, Kezia Aletheia, Rayi Putra, Axel Jonathan.#SkinnyIndonesian24 #DaLopezEntertainment #YouTubesGotTalent #YGT #YGT2020Email: dalopezbros@gmail.comInstagram & Twitter: @andovidalopez & @jovialdalopezThis is a Da Lopez Entertainment ProductionLove you all!"
"OIP0Nb6lLxs","Lesti - Rizky Billar Test Kecocokan Sampai Latihan Ijab Kabul! | #DangdutKepo","2020-08-07T12:00:12Z","UCE0laCY30f_ky80J0BxD3dA","3D Entertainment","10","20.08.08","lesty kejora|lesti billar|lesti lovers|lestilovers|lesti rizky billar|lesti|kulepas dengan ikhlas|lesti dangdut academy|lesti indosiar|mantan lesti|pacar baru lesti|video bikin baper|rizky billar|mantan rizky billar|gosip lesti|video uwu","2520557","194725","2499","32225","https://i.ytimg.com/vi/OIP0Nb6lLxs/default.jpg","False","False","Lesti - Rizky Billar Test Kecocokan Sampai Latihan Ijab Kabul! | #DangdutKepoKamu pasti nggak nyangka, keduanya dipertemukan dalam kondisi yang sama, pas ditest, ternyata keduanya cocok! Woow! Makin uwuu kaan.Kalau gemes sama mereka, sebarkan  ke-uwu-an mereka ini dengan share linknya.-----------------------------------------------Yuk Follow!Instagram : https://instagram.com/3dent_idTwitter : https://twitter.com/3dent_idFacebook : https://www.facebook.com/3dentertainm...3D Entertainment adalah sub-label dari PT. Trinity Optima Production (TOP) yang menaungi artis-artis dengan segmen musik Dangdut."
"JSAfPh1A25E","TREASURE - 'BOY' M/V","2020-08-07T09:00:09Z","UCx9hXYOCvUYwrprEqe4ZQHA","TREASURE (트레저)","24","20.08.08","YG Entertainment|YG|와이지|K-pop|트레져|트레저|TREASURE|CHOI HYUN SUK|JIHOON|YOSHI|JUNKYU|MASHIHO|YOON JAE HYUK|ASAHI|BANG YE DAM|DOYOUNG|HARUTO|PARK JEONG WOO|SO JUNG HWAN|최현석|지훈|요시|준규|마시호|윤재혁|아사히|방예담|도영|하루토|박정우|소정환|TREASURE DEBUT|트레저 데뷔|TREASURE BOY|BOY|THE FIRST STEP|CHAPTER ONE|트레저 BOY|트레저 들어와|TREASURE COME TO ME|COME TO ME|들어와","10812078","1217719","17601","261920","https://i.ytimg.com/vi/JSAfPh1A25E/default.jpg","False","False","BOY Woah ohYeah넌 마치 beautiful danger쳐다볼 수 없어너무 눈부신 halo 눈을 가려봐도 숨겨봐도넌 정말 different 헤어나올 수 없어터질듯한 내 heartbeat불을 질러 oh oh oh 더 oh oh ohOh no 온통 머릿속이 messed upYo 오늘따라 미치겠어You’re so beautiful 말하고 싶어눈을 마주친 순간 이전의 난몰랐었어 나의 타입넌 정말 special treasureYeah I'm gonna be the one너를 원해운명이었던 것처럼 yeah수많은 사람들 속 너만 보여I can make you happy난 꼭 너여야만 해 girl맘을 열어줘 I just wanna be your boyI’ll be your boy맘을 열어줘Be my be my be my girlI’ll be your boyBe my be my be myI just wanna be your boy지금 막 지금 막눈이 멀어버릴 것만 같음숨 막히는 아름다움I’m so addicted to you, can’t control코끝에 당겨 너의 향기불장난은 그만 사랑으로 채워 열기I’m runnin’ and runnin’ and널 위해서라면 난전부 다 걸어 ride or die운명이었던 것처럼 yeah수많은 사람들 속 너만 보여 I can make you happy난 꼭 너여야만 해 girl맘을 열어줘I just wanna be your boyI’ll be your boy맘을 열어줘Be my be my be my girlI’ll be your boyBe my be my be myI just wanna be your boy어디서든 빛나너는 나의 여왕I’mma ride for youI’mma ride or die for you girlBaby I’ll be yoursBaby I’ll be yoursBut you’re so far away 이제 맘을 열어줘I’m gonna be your boyI’ll be your boyBe my be my be my girl내 맘과 같다면 Be my be my be myI just wanna be your boy다 필요 없어 나와 손을 잡고 runShh Treasure Oh oh oh oh oh oh oh ohNa na na na na nowOh oh oh oh oh oh 맘을 열어줘Oh oh oh oh oh oh oh ohNa na na na na nowOh oh oh oh oh ohI’m gonna be your boyAlbums Available @ YG SELECT : http://www.ygselect.com/ YG SELECT China : http://cn.ygselect.com/ YG SELECT Amazon(JP) : http://bit.ly/yg-amzn-jp YG SELECT Amazon(US) : http://bit.ly/yg-amzn-us YG SELECT Amazon(UK) : http://bit.ly/yg-amzn-uk YG SELECT Qoo10(SG) : https://www.qoo10.sg/shop/ygselect #TREASURE #트레저 #1stSINGLEALBUM #THEFIRSTSTEP_CHAPTERONE #BOY #YGMore about TREASURE @https://yg-treasure.comhttps://www.youtube.com/OfficialTreasurehttps://www.facebook.com/OfficialTreasurehttps://www.twitter.com/ygtreasuremakerhttps://www.twitter.com/treasuremembershttps://www.instagram.com/yg_treasure_official"
"6tGQlddMof8","YouTube's Got Talent (Part 1)","2020-08-03T12:45:12Z","UCUTc6457VhzHj-Bt2ejm2BA","skinnyindonesian24","29","20.08.08","skinnyindonesian24|youtube got talent|da lopez|anji|giveaway|andovi da lopez|jovial da lopez|ygt|ygt2020|sarkas|skinny|tahun terakhir|youtubes|got|talent|part 1|denny sumargo|dyland pros|satire|satir|lucu|mli|majelis|indonesia|majelis lucu indonesia|inay|may i see|david beatt|anderu bionty|chandra liow|juri|bayu skak|nessie judge|acara|bakat|youtube|ada|skinny24|skinnyindonesia24|da lopez bersaudara","5746398","580580","12061","71363","https://i.ytimg.com/vi/6tGQlddMof8/default.jpg","False","False","Part 2: https://www.youtube.com/watch?v=3Exwdn9ltGI Part 3: https://www.youtube.com/watch?v=ptDkYJyQUaISkinnyIndonesian24 (Andovi da Lopez & Jovial da Lopez) membuat ajang pencarian bakat YouTube pertama di Indonesia dengan juri Nessie Judge, Bayu Skak, Chandra Liow, dan Cia.Disclaimer: YouTube's Got Talent is not in any way affiliated with YouTube nor an accurate representation of YouTube.Peringatan: Program YouTube's Got Talent ini sama sekali tidak ter-afiliasi dengan YouTube dan bukan representasi akurat dari YouTube.Para kontestan: Anji, Denny Sumargo, Dyland Pros, May I See, Majelis Lucu Indonesia, UUS, Fathia Izzati, Gritte Agatha, Inayma, Cretivox, Last Day Production, Step By Step ID, Aulion, Minyo, Vega Delaga, Cameo Project, Jwest Bros, Kyra Nayda, XD Entertainment, Anderu Bionty, David Beatt, Tommy Limmm, Kezia Aletheia, Rayi Putra, Axel Jonathan.#SkinnyIndonesian24 #DaLopezEntertainment #YouTubesGotTalent #YGT #YGT2020Time Stamp00:00:36 : David Beatt00:03:49 : May I See00:07:02 : Anji00:08:38 : Inayma00:11:36 : Dyland PROS00:13:58 : Denny Sumargo00:18:36 : Vega Delaga00:20:54 : ???Email: dalopezbros@gmail.com Instagram & Twitter: @andovidalopez @jovialdalopez This is a da Lopez Entertainment Productions.Love you all."
"PoOqxtRfEnI","Rizky Billar - Melihatmu Bahagia (Official Music Video)","2020-08-07T10:00:13Z","UCgDk4QmH3kArn9O3BwkBzWg","AFE RECORDS","10","20.08.08","lesti rizky billar|rizky billar|lesti rizki|rizki nikah|sepertiga malam|lesti mantan rizki|baper lesti rizky|rizky billar ngapel lesti|cinta lesti rizky billar|music video|video klip|viral|video viral|sinetron|video baper|video bikin mewek|video bikin sedih|video bikin baper|leslar|power of leslar|rizky|muhammad rizky billar|dindahw|rizky billar dinda hauw|video klip rizky billar","2154943","250689","3059","64312","https://i.ytimg.com/vi/PoOqxtRfEnI/default.jpg","False","False","Rizky Billar - Melihatmu Bahagia (Official Music Video)Subscribe to AFE Records here : https://bit.ly/AFERecords Stream available on : https://AFERECORDS.lnk.to/MelihatmuBahagiaRizkyBillarMelihatmu BahagiaComposed by Tengku Shafick Executive Producer : Hendy Ahmad (AFE RECORDS) Original Published by PT. Afe Karya Pustaka (AFE MUSIC PUBLISHING) Arranged & Music Produced by Tengku ShafickKeys & Vocal Directed by Tengku ShafickGuitars, Drum & Music Programer by JohnWill DamaBacking Vocals by Yonggi MikamaVocal & Music Recorded at Afe StudioMusic & Vocal Sound Engineer by Yudi AngusMixed & Edited by Anggi AnggoroMastered at Roomworks StudioMUSIC VIDEO PH: AFE PICTURES Producer: Hendy Ahmad Director: Adi Prasetyo Unit Production Manager: Ndym Kodim Taslany Editor : Heru Hermansyah Behind The Scenes: Fauzan Haq Ali Wardrobe by @Jessichiang1608Hairdo : @jessie_hairdressers_studioMakeup : @Bellevie_bridalPhotostudio @Bellevie_photostudio________________________________________ ♫ Available on ♫ JOOX : https://bit.ly/MelihatmuBahagiaJOOXSpotify : https://bit.ly/MelihatmuBahagiaSPOTIFYDeezer : https://bit.ly/MelihatmuBahagiaDEEZERLangit Musik : https://bit.ly/MelihatmuBahagiaLM________________________________________ ♫ Available as RBT ♫ Telkomsel : Ketik SADBOY Kirim Ke 1212 XL / Axis : Ketik SADBOY Kirim Ke 1818 Three 3 : Ketik SADBOY Kirim Ke 1212 ________________________________________ ♫ LYRICS ♫ Melihatmu BahagiaCintaku jatuh di hatimuBerharga untuk kuBerharap kelakkau akan jadi jodohku Penantianku bersamamuJadi bahagiakuSempurna kan kuKarena kau adalah mimpiku Ternyata semua berakhirSejak ada dia hadirKu yang dulu sangat pentingKau berubah dan tinggalkan akuChorusKu yang selalu menjagamuNamun dia yang milikimuSemua tak jadi kenyataanBiar ku tahan sedih iniKu yang selalu mencintamuNamun dengan nya kau berlabuhKu mengalah dari egokuAsal ku melihatmu bahagiaCintaku jatuh di hatimuBerharga untuk kuBerharap kelakKau akan jadi jodohkuTernyata semua berakhirSejak ada dia hadirKu yang dulu sangat pentingKau berubah dan tinggalkan kuKu yang selalu menjagamuNamun dia yang milikimuSemua tak jadi kenyataanBiar ku tahan sedih ini Ku yang selalu mencintamuNamun dengan nya kau berlabuhKu mengalah dari egokuAsal ku melihatmu bahagiaSemua tak jadi kenyataanBiar ku tahan sedih ini Ku yang selalu mencintamuNamun dengan nya kau berlabuhKu mengalah dari egokuAsal ku melihatmu bahagiaAsal ku melihatmu bahagia__________________________________________ Enjoy & Stay Connect with us! ► Subscribe to AFE RECORDS: http://smarturl.it/SubscribeAfeRecords ► Website: http://www.afecorps.co.id ► Like us on Facebook: https://www.facebook.com/aferecords ► Follow us on Twitter: https://twitter.com/aferecords ► Follow us on Instagram: https://instagram.com/aferecords Follow Rizky Billar :► Youtube : https://bit.ly/SubscribeRizkyBillar► Twitter : https://twitter.com/RizkyBillar► Instagram : https://www.instagram.com/rizkybillar/________________________________________ AFE RECORDS is a record label based in Jakarta, Indonesia. Our artists include The Potter's, 3 Composers, Ifan Seventeen, Rizky Billar, Ihsan Tarore, Sahrul Gunawan, The Row, Cathy Fakandi, Bona, Adiezty Fersa, Yonggi Mikama, Brina Shabyna, and Many more. Subscribe to our channel for exclusive videos, Including official videos and lyrics videos. ________________________________________ Don't Forget To Like, Comment, Share And SUBSCRIBE! Contact Business : Afe Artist Management Tina : 0813-8550-8015 P&C Afe Records 2020"
"ZLBj3Bzqy3I","Detik-detik Ledakan Dahsyat di Beirut Lebanon","2020-08-04T23:59:02Z","UCzl0OrB3-ehunyotIQvK77A","metrotvnews","25","20.08.08","medcomid|metrotvnews|berita viral|berita terkini","2918565","37613","2718","4600","https://i.ytimg.com/vi/ZLBj3Bzqy3I/default.jpg","False","False","Sebuah ledakan besar mengguncang Beirut, Lebanon, Selasa (4/8/2020). Ledakan yang terjadi di ibu kota Lebanon ini mengakibatkan puluhan orang meninggal dunia dan ribuan orang luka-luka."
"CU3ncFZ68Qc","Ledakan Besar Terjadi di Beirut, 70 Orang Meninggal","2020-08-05T02:55:02Z","UCGN9JsnkvK05v2lnTI_-uGA","CNBC Indonesia","22","20.08.08","ledakan|Beirut|Lebanon|70 orang meninggal|Squawk Box|CNBC Indonesia","2531046","20383","1084","3946","https://i.ytimg.com/vi/CU3ncFZ68Qc/default.jpg","False","False","Berita lainnya:Alert! Satu WNI Jadi Korban Ledakan Beirut LebanonLink: https://bit.ly/3i6BbinSebuah ledakan besar terjadi di Beirut, Lebanon. Hingga 7:00 WIB tercatat 70 orang meninggal dan ribuan lainnya terluka.Selengkapnya saksikan Squawk Box, CNBC Indonesia (Rabu, 05/08/2020)Terus ikuti berita ekonomi bisnis dan analisis mendalam hanya di https://www.cnbcindonesia.com/.CNBC Indonesia terafiliasi dengan CNBC Internasional dan beroperasi di bawah grup Transmedia dan tergabung bersama Trans TV, Trans7, Detikcom, Transvision, CNN Indonesia dan CNN Indonesia.com.CNBC Indonesia dapat dinikmati melalui tayangan Transvision channel 805 atau streaming melalui aplikasi CNBC Indonesia yang dapat di download di playstore atau iOS. Follow us on social: Twitter: https://twitter.com/cnbcindonesiaFacebook Page: https://www.facebook.com/CNBCIndonesia/Instagram: https://www.instagram.com/cnbcindonesia/ https://www.instagram.com/cuap_cuan/Tiktok: https://bit.ly/38BYtJxSpotify: https://spoti.fi/2BR7KkT"
"tOTSrDI5Iug","Rizky Febian - Cuek #GarisCinta [Official Music Video]","2020-08-07T09:00:09Z","UCbygpKn8gqj1LMTMyROF9fg","Rizky Febian","10","20.08.08","kesempurnaan cinta|Cover Rizky Febian|Penantian Berharga|Lagu Terbaru Rizky Febian|video lirik rizky febian|Rizky Febian|Rizky Febian Kesempurnaan Cinta|melawan dunia video lirik|Nona Rizky Febian|Album Jejak Rizky Febian|RFAS Music|Rizky Febian Cover|Album Jejak|Rizky Febian Menari|Rizky Febian Ragu|Anya Geraldine|Korean Movie Series|Korean Movie|makna cinta|mantra cinta|cuek|garis cinta|garis cinta rizky febian|Rizky Febian Anya Geraldine","2200702","249358","2035","19816","https://i.ytimg.com/vi/tOTSrDI5Iug/default.jpg","False","False","#RizkyFebian #Cuek #GarisCintaSukses mengadakan Intimate Concert di bulan Februari lalu dan merilis lagu di saat pandemi kemarin belum membuat Rizky Febian puas berkarya di tahun ini. Rizky Febian membuat 3 lagu baru yang di jadikan satu projek yaitu “Garis Cinta”. Lagu-lagunya sendiri berkisah tentang fase orang banyak dalam menjalani suatu hubungan.Lagu “Cuek” ini adalah lagu cinta  ala Rizky Febian yang selalu membuat cerita yang serupa dengan kejadian yang sering dirasakan banyak pasangan pada umumnya, dimana banyak orang yang selalu berpikiran overthinking terhadap pasangannya. Namun lagu ini berbeda dengan karya yang pernah diciptakan Rizky Febian sebelumnya, dia berusaha mengemas lagu sedih menjadi lagu yang bisa dinikmati dalam kondisi apapun.Rizky Febian sudah mempersiapkan video klip dari lagu ini. Visual lagu ini dikemas dalam bentuk Music video series yang disempurakan oleh tim AVCD Films. Dalam Music Video Series nya sendiri menyampaikan proses cerita cinta sebuah hubungan. Rizky Febian sangat maksimal untuk projek “Garis Cinta” ini, begitu juga untuk pemilihan model video klipnya. Tidak tanggung-tanggung Rizky Febian Menggandeng Anya Geraldine sebagai lawan mainnya di video klip, Iky merasa peran wanita dalam video klipnya harus spesial.Dalam cerita di video klip cuek ini peran Anya sebagai wanita yang bekerja di art exhibition dan Iky sebagai design graphic, Iky sangat bahagia bisa dekat dengan wanita yang selama ini ternyata memperhatikannya dan mencintainya dengan tulus. Iky yang berniat menjalin hubungan lebih serius dengan Anya berusaha menciptakan sebuah lagu yang akan dinyanyikan di tanggal anniversary mereka. Iky yang keseharian bekerja sebagai design graphic berusaha menjadi seorang musisi untuk membuatkan lagu spesial untuk wanita pujaannya.Music Video Credits : Production House AVCD FilmsDirector by Risky JusufProducer by Ades VidyatmajaAssistant Director by Puput SinwanDOP by PetirArt Director by Haris HudaStyle Director by Hapsari JusufMake Up Artist by Ghalih MaharaniHair Stylist by Asih IsabelaUnit Production by Supriyatna Script Continuity by Andy JapraOffline Editor by Dias HikasightOnline Editor & Colorist by Dedy LekatompessySound Recordist by Yogi Tri KuncoroSound Design by Risky JusufBehind The Scene by PahamTalent Coordinator by Achmad KurniawanThanks to Parama StudioLighting Equipment Support by SevenguardSong Credits :Composed by Rizky FebianMusic Produced by Ajier EffendyCo-Produced by Beraldy DeanAcoustic Guitar by Beraldy DeanTrumpet by Ignasius AnggaExecutive Producer by RFAS MUSICProducer by Rahul Tamara PutraMixed by by Ajier EffendyMastered by MikeAvailable on all DSPhttps://backl.ink/142648146Set RBT Cuek onhttps://rbtone.id/rizkyfebiancuekFollow #CuekChallenge on TikTokhttps://vt.tiktok.com/yD2dCv/"
